Record	Yhat	Residual	Hat	RinvRes	AOMstat
381	6.5224	-0.2622	0.1432E-01	-0.1588	-0.2418
382	6.5224	0.3797	0.1432E-01	0.2581	0.3930
383	6.5224	-1.517	0.1432E-01	-0.6712	-1.022
384	6.5224	-0.1098	0.1432E-01	0.2891E-01	0.4402E-01
385	6.5224	0.6597E-01	0.1432E-01	0.1150	0.1752
386	6.5224	-1.532	0.1432E-01	-0.8030	-1.222
387	6.5224	2.586	0.1432E-01	1.128	1.718
388	6.5224	1.362	0.1432E-01	0.2362	0.3596
389	6.5224	4.127	0.1432E-01	1.723	2.623
390	6.5224	-0.1488	0.1432E-01	-0.2809	-0.4311
391	6.5224	0.2559	0.1432E-01	0.1302	0.1998
392	6.5224	-0.3996	0.1432E-01	-0.1695	-0.2581
393	6.5224	-0.3219	0.1432E-01	-0.1165	-0.1774
394	6.5224	-0.3384E-01	0.1432E-01	-0.3540E-01	-0.5389E-01
395	6.5224	0.7157	0.1432E-01	0.3470	0.5283
396	6.5224	-0.6703	0.1432E-01	-0.3822	-0.5818
397	6.5224	1.029	0.1432E-01	0.5055	0.7696
398	6.5224	-0.4653	0.1432E-01	-0.1404	-0.2138
399	6.5224	-2.188	0.1432E-01	-0.9825	-1.496
400	6.5224	1.134	0.1432E-01	0.5535	0.8426
401	6.5224	1.001	0.1432E-01	0.2887	0.4395
402	6.5224	1.616	0.1432E-01	0.6824	1.039
403	6.5224	-0.6736	0.1432E-01	-0.5377	-0.8186
404	6.5224	3.055	0.1432E-01	1.359	2.069
405	6.5224	-0.1699E-01	0.1432E-01	-0.1682	-0.2581
406	6.5224	0.8568	0.1432E-01	0.4699	0.7212
407	6.5224	-1.984	0.1432E-01	-1.043	-1.588
408	6.5224	2.637	0.1432E-01	1.269	1.932
409	6.5224	-0.4401	0.1432E-01	-0.3067	-0.4670
410	6.5224	-0.4308	0.1432E-01	-0.2196	-0.3343
411	6.5224	1.067	0.1432E-01	0.4077	0.6207
412	6.5224	1.464	0.1432E-01	0.5357	0.8156
413	6.5224	0.7954	0.1432E-01	0.4224	0.6431
414	6.5224	-2.945	0.1432E-01	-1.324	-2.015
415	6.5224	0.1214	0.1432E-01	0.1920	0.2922
416	6.5224	0.2992	0.1432E-01	0.1070	0.1629
417	6.5224	0.3068	0.1432E-01	0.1018	0.1550
418	6.5224	0.2903	0.1432E-01	-0.7421E-01	-0.1130
419	6.5224	3.488	0.1432E-01	1.468	2.235
420	6.5224	0.5112	0.1432E-01	0.3425E-01	0.5258E-01
