Record	Yhat	Residual	Hat	RinvRes	AOMstat
216	6.7416	0.8271	0.9737E-01	1.426	2.716
217	6.5545	-2.734	0.9744E-01	-0.8371	-1.594
218	6.7483	-2.042	0.4490E-01	-1.088	-2.072
219	6.4845	-2.795	0.9737E-01	-1.196	-2.277
220	6.6289	-0.6227	0.9737E-01	-0.2346	-0.4466
221	6.6745	-0.1638	0.9737E-01	-0.1026	-0.1953
222	6.7566	-0.3103	0.9739E-01	0.2461	0.4686
223	6.5457	-1.843	0.9765E-01	-1.034	-1.968
224	6.7518	1.174	0.9738E-01	0.7593	1.446
225	6.7483	-0.4661	0.4490E-01	0.5979	1.147
226	6.7562	-0.6109E-02	0.9731E-01	0.2888E-01	0.5540E-01
227	6.7958	0.6114	0.9736E-01	0.6067	1.155
228	6.7483	-0.4058	0.4490E-01	0.7412	1.411
229	6.6992	2.203	0.9743E-01	1.125	2.142
230	6.5934	-2.261	0.9730E-01	-0.8006	-1.524
231	6.4465	-2.165	0.8913E-01	-1.690	-3.218
232	6.6672	-2.230	0.9738E-01	-0.2568	-0.4890
233	6.6704	-1.164	0.9736E-01	0.1575	0.2998
234	6.4991	-1.665	0.9737E-01	-0.6905	-1.315
235	6.7272	-0.3581	0.4985E-01	0.1377	0.2623
236	6.5018	-0.4135	0.9743E-01	-0.4102	-0.7811
237	6.5185	-1.282	0.9737E-01	-0.4780	-0.9100
238	6.6142	0.8991	0.9745E-01	0.6317	1.203
239	6.5853	0.8216	0.9737E-01	0.2554	0.4863
240	6.4093	-2.774	0.9739E-01	-1.163	-2.230
241	6.6365	-1.127	0.9742E-01	-0.8003	-1.535
242	6.5424	-1.091	0.9740E-01	-0.2869	-0.5463
243	6.6478	-1.319	0.9742E-01	-0.5245	-0.9987
244	6.7378	1.424	0.9742E-01	0.7770	1.479
245	6.7332	0.4283E-01	0.4682E-01	0.1798	0.3423
246	6.8423	1.315	0.9743E-01	1.018	1.939
247	6.6358	-1.421	0.9734E-01	-0.1831	-0.3486
248	6.4875	-1.309	0.9744E-01	-0.4203	-0.8002
249	6.5919	1.158	0.9744E-01	0.8706	1.658
250	6.4465	-0.3745	0.8913E-01	-0.6373	-1.213
251	6.6156	1.071	0.9740E-01	0.9639	1.835
252	6.7332	-1.255	0.4682E-01	-0.5919	-1.127
253	6.7664	1.721	0.9744E-01	1.339	2.550
254	6.6118	0.3118	0.9733E-01	-0.7611	-1.449
255	6.4560	-2.218	0.9738E-01	-0.4148E-01	-0.7958E-01
256	6.5932	0.6852	0.9779E-01	1.004	1.927
257	6.6118	-1.682	0.9737E-01	-0.5750	-1.095
258	6.6133	-1.155	0.9743E-01	-0.2125	-0.4045
259	6.3502	-1.592	0.9743E-01	-1.569	-2.987
260	6.5364	0.5979	0.9770E-01	0.4961	0.9446
261	6.5932	1.187	0.9737E-01	0.3290	0.6265
262	6.7272	-1.353	0.4985E-01	-0.5485	-1.044
263	6.5519	-1.029	0.9741E-01	-0.3455	-0.6579
264	6.5339	1.484	0.9740E-01	0.7649	1.456
265	6.8774	1.243	0.9736E-01	1.090	2.075
266	6.2638	-0.4276	0.9739E-01	-0.9720	-1.851
267	6.5128	-0.7599	0.9738E-01	0.2263	0.4308
268	6.6215	-1.471	0.9741E-01	-2.213	-4.213
269	6.7272	2.843	0.4985E-01	1.710	3.255
270	6.4954	-2.951	0.9738E-01	-0.6816	-1.308
271	6.7126	-1.188	0.9743E-01	-0.7337	-1.408
272	6.7483	-1.364	0.4490E-01	0.5910E-02	0.1125E-01
273	6.6553	0.1402	0.9744E-01	0.5609	1.068
274	6.7743	1.123	0.9731E-01	1.032	1.965
275	6.6621	0.1327	0.9746E-01	-0.9699E-02	-0.1847E-01
276	6.5373	0.6838	0.9746E-01	0.4074	0.7757
277	6.6087	0.4336E-01	0.9734E-01	0.9920E-01	0.1889
278	6.7115	-0.2279	0.9742E-01	0.5343	1.017
279	6.7272	-0.7932	0.4985E-01	-1.512	-2.878
280	6.5816	-0.9642	0.9744E-01	-0.5522	-1.051
281	6.7057	1.520	0.9738E-01	0.7454	1.419
282	6.5088	-0.3180	0.9743E-01	-0.6590	-1.255
283	6.8678	3.273	0.8925E-01	1.913	3.642
284	6.6239	1.509	0.9734E-01	0.7408E-01	0.1410
285	6.5752	-3.799	0.1022	-1.066	-2.044
286	6.4241	-0.7264	0.9746E-01	-0.6563E-01	-0.1259
287	6.5568	-2.168	0.9771E-01	-0.3292	-0.6267
288	6.6216	-1.558	0.9744E-01	-0.7036	-1.340
289	6.7483	-0.3034	0.4490E-01	-0.8708E-01	-0.1658
290	6.6429	-1.043	0.9742E-01	-0.7623	-1.451
291	6.5539	-1.275	0.9733E-01	-1.103	-2.100
292	6.8201	0.5886	0.9738E-01	1.122	2.136
